id,title,genre,description
242,Waiting (Vintage International),fiction|literary fiction|historical fiction,<Waiting (Vintage International)> is a literary fiction book about the life of a Chinese military doctor who patiently waits for over two decades for his love to leave her husband and be with him.
243,Midwives: A Novel,fiction|drama|medical fiction,<Midwives: A Novel> is a medical fiction drama about a midwife who faces a life-changing decision after a home birth goes tragically wrong.
244,The Reader,literary fiction|historical fiction,<The Reader> is a literary fiction book about a young man's affair with an older woman that has haunting consequences for both of their lives.
245,A Heartbreaking Work of Staggering Genius,memoir|autobiography,<A Heartbreaking Work of Staggering Genius> is a memoir about Dave Eggers' experiences as a young man raising his younger brother after the death of their parents.
246,Empire Falls,fiction|drama,"<Empire Falls> is a drama fiction book about the struggles of a small town in Maine and the intertwined lives of its residents, centering around the protagonist Miles Roby and his attempts to break free from the constraints of his past."
247,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),fiction|contemporary fiction,"""The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)) is a contemporary fiction book about a woman grappling with guilt and identity after her fiancé becomes paralyzed in a diving accident."""
248,House of Sand and Fog,drama|literary fiction,<House of Sand and Fog> is a literary fiction drama about a misunderstanding over a house that leads to a devastating conflict between a former Iranian colonel and a recovering alcoholic.
249,The Idiot Girls' Action Adventure Club,humor|memoir,<The Idiot Girls' Action Adventure Club> is a humorous memoir about the author's misadventures and humorous observations in her everyday life.
250,Stargirl,young adult|fiction|coming of age,<Stargirl> is a young adult coming of age fiction book about a free-spirited and unique high school student who challenges societal norms and faces the consequences of being different.
251,Christy,Fiction|Historical fiction|Christian fiction,<Christy> is a historical Christian fiction book about a young woman who travels to the Appalachian mountains to teach at a remote school and discovers the hardships and beauty of the community.
252,Watership Down,fantasy|adventure,<Watership Down> is a fantasy adventure book about a group of rabbits who embark on a perilous journey to find a new home after their warren is threatened.
253,Alive : The Story of the Andes Survivors (Avon Nonfiction),nonfiction|survival|true story,<Alive : The Story of the Andes Survivors (Avon Nonfiction)> is a gripping nonfiction survival book that recounts the harrowing true story of a group of Uruguayan rugby players who survived a plane crash in the Andes Mountains
254,Jonathan Livingston Seagull,fable|novella|philosophical fiction,<Jonathan Livingston Seagull> is a philosophical fiction novella about a seagull who transcends the limitations of his flock to pursue his passion for flying.
255,The Thorn Birds,Romance|Historical fiction,"<The Thorn Birds> is a Romance|Historical fiction book about the forbidden love between a young woman and a Catholic priest in Australia, spanning over several decades and generations."
256,The Indian in the Cupboard,fantasy|children's literature,<The Indian in the Cupboard> is a fantasy children's literature book about a young boy who discovers that a plastic Native American toy he puts in a magic cupboard comes to life.
257,The Return of the Indian (Indian in the Cupboard),fantasy|children's literature,<The Return of the Indian (Indian in the Cupboard)> is a fantasy|children's literature book about a young boy named Omri who discovers that his plastic toy Indian figurine can come to life when placed in a magical cupboard.
258,Communion : A True Story,nonfiction|autobiography|paranormal,<Communion : A True Story> is a nonfiction autobiography about author Whitley Strieber's alleged encounters with extraterrestrial beings and the resulting psychological effects on him.
259,Postmortem,mystery|thriller|crime fiction,"<Postmortem> is a gripping crime fiction novel about Dr. Kay Scarpetta, a forensic pathologist, who investigates a series of brutal murders in Richmond, Virginia, with the help of detective Pete Marino and FBI agent Benton Wesley."
260,It's Always Something,biography|memoir,"<It's Always Something> is a heartfelt memoir by Gilda Radner, detailing her battles with cancer and her determination to find humor and joy in the face of adversity."
261,The True Confessions of Charlotte Doyle (rack),adventure|historical fiction|young adult,<The True Confessions of Charlotte Doyle (rack)> is a young adult adventure and historical fiction book about a 13-year-old girl who becomes embroiled in a treacherous voyage at sea in the 19th century.
262,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),mystery|crime fiction,<Body of Evidence (Kay Scarpetta Mysteries (Paperback))> is a mystery/crime fiction book about forensic pathologist Kay Scarpetta investigating a series of brutal murders linked to a copycat killer.
263,All That Remains (Kay Scarpetta Mysteries (Paperback)),mystery|crime fiction,"<All That Remains (Kay Scarpetta Mysteries (Paperback))> is a mystery/crime fiction book about forensic pathologist Dr. Kay Scarpetta investigating the murders of young couples in Richmond, Virginia."
264,Track of the Cat (Anna Pigeon Mysteries (Paperback)),mystery|crime fiction,<Track of the Cat (Anna Pigeon Mysteries (Paperback))> is a mystery book about a National Park Service ranger investigating the mysterious death of a fellow ranger in the wilderness of West Texas.
265,Notes from a Small Island,travel|humor,<Notes from a Small Island> is a travel humor book about author Bill Bryson's humorous and insightful journey through Britain before he moves back to the United States.
266,Bloodsucking Fiends: A Love Story,fantasy|humor|romance,<Bloodsucking Fiends: A Love Story> is a fantasy-humor-romance book about a young vampire in San Francisco who falls in love with a quirky girl and navigates the challenges of vampire life with humor and heart.
267,Vinegar Hill (Oprah's Book Club (Paperback)),fiction|drama,"<Vinegar Hill (Oprah's Book Club (Paperback))> is a drama fiction book about a struggling family forced to move back in with the husband's controlling parents, leading to a series of emotional and psychological challenges."
268,Mystic River,crime fiction|thriller|drama,"<Mystic River> is a crime fiction book about three childhood friends whose lives are forever changed when one of them is accused of murder, leading to dark secrets and tragic consequences."
269,Man of My Dreams (Sherring Cross (Paperback)),romance|historical romance,<Man of My Dreams (Sherring Cross (Paperback))> is a historical romance book about a young woman who falls in love with a dashing stranger in Regency England.
270,The Magic of You (Malory Novels (Paperback)),romance|historical fiction,<The Magic of You (Malory Novels (Paperback))> is a romance/historical fiction book about a spirited young woman who falls in love with a dashing sea captain despite their initial animosity towards each other.
271,All I Need Is You,romance|historical romance,<All I Need Is You> is a historical romance novel about a spirited young woman and a rugged cowboy who find love and adventure in the Wild West.
272,Rebecca,mystery|suspense|gothic fiction,"<Rebecca> is a gothic fiction book about a young newlywed who becomes haunted by the memory of her husband's deceased first wife, Rebecca, as secrets of the past threaten to unravel their marriage."
273,Murder on a Girls' Night Out: A Southern Sisters Mystery,mystery|cozy mystery|southern fiction,<Murder on a Girls' Night Out: A Southern Sisters Mystery> is a cozy mystery novel about two feisty southern sisters who investigate a murder at a fashion show in Alabama.
274,Murder on a Bad Hair Day: A Southern Sisters Mystery,mystery|humor|southern fiction,<Murder on a Bad Hair Day: A Southern Sisters Mystery> is a humorous mystery novel about two Southern sisters who investigate a murder at a beauty pageant in Alabama.
275,Neverwhere,fantasy|urban fantasy,<Neverwhere> is a fantasy/urban fantasy book about a man who falls into a hidden magical world beneath London and must navigate its dangers to find his way back to reality.
276,American Gods,fantasy|mythology|contemporary fiction,<American Gods> is a fantasy novel that follows ex-convict Shadow as he becomes embroiled in a conflict between old gods and new gods in America.
277,What Looks Like Crazy On An Ordinary Day,fiction|contemporary fiction|women's fiction,<What Looks Like Crazy On An Ordinary Day> is a contemporary fiction book about a woman who returns to her hometown after being diagnosed with HIV and finds a sense of community and purpose.
278,Petals on the River (Avon Historical Romance),romance|historical fiction,"<Petals on the River (Avon Historical Romance)> is a romance novel set in historical times, following the tumultuous love story between an Englishwoman and a Cherokee warrior."
279,This Heart of Mine (Avon Romance),romance|contemporary romance,<This Heart of Mine (Avon Romance)> is a contemporary romance novel about a young woman who receives a heart transplant and falls in love with the donor's brother.
280,"Lamb : The Gospel According to Biff, Christ's Childhood Pal",fiction|humor|satire,"<Lamb : The Gospel According to Biff, Christ's Childhood Pal> is a humor and satire book about the untold story of Jesus Christ's life as seen through the eyes of his mischievous best friend, Biff."
281,The Princess Diaries,young adult|romance|coming of age,<The Princess Diaries> is a young adult coming of age novel about a teenage girl who discovers she is the heir to a small European kingdom and must navigate the challenges of royal life while also dealing with typical high school drama.
282,Stalker: A Peter Decker and Rina Lazarus Novel,mystery|crime fiction|detective novel,<Stalker: A Peter Decker and Rina Lazarus Novel> is a mystery/crime fiction/detective novel about Detective Peter Decker and his wife Rina Lazarus investigating a series of disturbing incidents involving a stalker targeting R
283,Last Chance Saloon,romance|chick lit,<Last Chance Saloon> is a romance/chick lit book about three best friends navigating their love lives and relationships while dealing with personal struggles and insecurities.
284,"For Better, for Worse: A Novel",romance|fiction,"<For Better, for Worse: A Novel> is a romance novel about a woman who must navigate unexpected challenges and changes in her life while also trying to save her failing marriage."
285,"Fluke : Or, I Know Why the Winged Whale Sings",humor|fantasy|fantasy fiction,"<Fluke : Or, I Know Why the Winged Whale Sings> is a humorous fantasy fiction book about a marine biologist who discovers a mysterious message on the tail of a humpback whale, leading him on an adventure to uncover the truth"
286,The Book of Ruth (Oprah's Book Club (Paperback)),fiction|literary fiction,<The Book of Ruth (Oprah's Book Club (Paperback))> is a literary fiction book about a young woman named Ruth who navigates a difficult family situation and finds strength and resilience amidst tragedy.
287,Hannibal,thriller|horror|crime fiction,"<Hannibal> is a thriller|horror|crime fiction book about FBI agent Clarice Starling's pursuit of the notorious cannibalistic serial killer, Dr. Hannibal Lecter."
288,Cold Sassy Tree,fiction|historical fiction|coming-of-age,<Cold Sassy Tree> is a historical fiction novel about a young boy's coming-of-age in a small Southern town in the early 1900s.
289,Charming Billy,literary fiction,<Charming Billy> is a literary fiction book about the lasting impact of a family's secrets and lies surrounding the tragic death of a beloved relative.
290,Confessions of a Shopaholic (Summer Display Opportunity),chick lit|romantic comedy|contemporary fiction,"<Confessions of a Shopaholic (Summer Display Opportunity)> is a chick lit book about a young journalist with a shopping addiction who navigates love, career, and financial struggles in a humorous and relatable way."
291,Diary of a Mad Bride (Summer Display Opportunity),romance|humor|women's fiction,<Diary of a Mad Bride (Summer Display Opportunity)> is a romance and humor-filled women's fiction book about a bride-to-be navigating the ups and downs of planning her wedding while dealing with family drama and unexpected challenges.
292,Shopaholic Takes Manhattan (Summer Display Opportunity),romance|chick lit,<Shopaholic Takes Manhattan (Summer Display Opportunity)> is a romance/chick lit book about Becky Bloomwood's adventures and misadventures in New York City as she tries to navigate the world of high fashion and deal with her shopping addiction.
293,Shopaholic Ties the Knot,romance|chick lit,<Shopaholic Ties the Knot> is a romance|chick lit book about Becky Bloomwood's extravagant wedding planning and the hilarious mishaps that ensue.
294,Apocalipstick,comedy|romance,<Apocalipstick> is a comedy|romance book about a woman who navigates her chaotic love life and career while dealing with a potential apocalypse.
295,Can You Keep a Secret?,romance|comedy|chick lit,"<Can You Keep a Secret?> is a romance/chick lit book about a young woman who spills all her innermost thoughts and secrets to a stranger on a turbulent plane ride, only to discover he is actually her company's elusive and attractive CEO."
296,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",romance|fantasy|cooking,"<Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies> is a romance and fantasy book about a young woman named Tita who uses her cooking to express her emotions and desires, leading to"
297,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",romance|magical realism|cooking,"<Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies> is a romance and magical realism book about a young woman named Tita who expresses her emotions through cooking, affecting the lives of those around"
298,The Chamber,legal thriller|crime fiction,<The Chamber> is a legal thriller book about a young lawyer defending his racist grandfather on death row for a Ku Klux Klan bombing.
299,The Partner,legal thriller|crime fiction|suspense,"<The Partner> is a legal thriller book about a man who fakes his own death and steals millions of dollars from his law firm, only to be caught years later and forced to face the consequences."
300,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",romance|magical realism|cooking,"<Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies> is a magical realism romance novel that tells the story of Tita, a young woman forbidden to marry the man she loves and who expresses her"
301,The Hot Zone,non-fiction|science|thriller,<The Hot Zone> is a non-fiction science thriller about the origins and spread of deadly viruses such as Ebola and the efforts to contain them.
302,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",biography|memoir|self-help,"<Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson> is a memoir/self-help book about a young man reconnecting with his former college professor who imparts valuable life lessons as he faces his own mortality"
303,Into the Wild,non-fiction|adventure,"<Into the Wild> is a non-fiction adventure book about a young man named Chris McCandless who leaves his comfortable life to journey into the Alaskan wilderness, ultimately meeting a tragic end."
304,The Handmaid's Tale : A Novel,dystopian|science fiction|speculative fiction,<The Handmaid's Tale : A Novel> is a dystopian science fiction book about a society where women are oppressed and used solely for reproduction.
305,The Street Lawyer,legal thriller|drama,"<The Street Lawyer> is a legal thriller about a successful attorney who has a life-changing encounter with a homeless man, prompting him to reassess his priorities and fight for justice for the less fortunate."
306,Into Thin Air : A Personal Account of the Mt. Everest Disaster,non-fiction|memoir|adventure,<Into Thin Air : A Personal Account of the Mt. Everest Disaster> is a non-fiction memoir adventure book that recounts the harrowing experience of the author and his fellow climbers during the devastating 1996 Mount Everest disaster.
307,The Testament,legal thriller,<The Testament> is a legal thriller book about a disillusioned lawyer who becomes embroiled in a multi-million dollar inheritance case in the Brazilian rainforest.
308,The Brethren,legal thriller|crime fiction,<The Brethren> is a legal thriller book about three former judges serving time in a federal prison who run a blackmail scheme targeting wealthy closeted gay men.
309,Bee Season: A Novel,fiction|literary fiction,"<Bee Season: A Novel> is a literary fiction book about a young girl named Eliza who discovers her hidden talent for spelling bees, causing her family to unravel as they each seek their own form of spiritual enlightenment."
310,A Painted House,southern fiction|coming-of-age,<A Painted House> is a southern fiction novel about a young boy named Luke growing up in rural Arkansas during the 1950s and the events that change his family's life forever.
311,The Summons,legal thriller,"<The Summons> is a legal thriller about a law professor who discovers a mysterious fortune hidden in his deceased father's belongings, leading him into a dangerous web of deception and betrayal."
312,Oryx and Crake,dystopian|science fiction,"<Oryx and Crake> is a dystopian science fiction book about a man named Snowman, the last human survivor in a world destroyed by genetic engineering and corporate greed, reflecting on his past friendship with the brilliant but morally questionable scientist Crake"
313,The Da Vinci Code,thriller|suspense|conspiracy theory,<The Da Vinci Code> is a thriller book about a symbologist and a cryptologist who unravel a conspiracy involving a secret society and the true identity of Mary Magdalene.
314,Skipping Christmas,fiction|comedy|holiday,"<Skipping Christmas> is a comedy book about a couple who decides to skip the traditional holiday celebrations and go on a cruise instead, leading to unexpected challenges and surprises."
315,The King of Torts,legal thriller,"<The King of Torts> is a legal thriller book about a young lawyer who becomes the ""king of torts"" by winning massive class-action lawsuits but soon realizes the high cost of his success."
316,The Devil Wears Prada : A Novel,fiction|satire|humor|chick lit,<The Devil Wears Prada : A Novel> is a chick lit book about a young woman's experiences working for a demanding and ruthless fashion magazine editor.
317,The Curious Incident of the Dog in the Night-Time : A Novel,mystery|fiction,<The Curious Incident of the Dog in the Night-Time : A Novel> is a mystery fiction book about a teenage boy with autism who investigates the death of a neighbor's dog and uncovers hidden family secrets.
318,Bleachers,fiction|sports fiction,<Bleachers> is a sports fiction book about a group of former high school football players who reunite at their old stadium to mourn the loss of their legendary coach and reflect on their past experiences playing for him.
319,A Map of the World,literary fiction|drama,<A Map of the World> is a literary fiction|drama book about a rural Wisconsin couple whose lives are turned upside down when the wife is accused of a crime she did not commit.
320,The Blind Assassin,fiction|historical fiction|literary fiction,"<The Blind Assassin> is a literary fiction book about a woman reflecting on her troubled past, including a mysterious novel written by her late sister and a scandalous love affair that ended tragically."
321,Three Junes,fiction|literary fiction,<Three Junes> is a literary fiction book about the interconnected lives of a Scottish family over three separate summers.
322,Atonement : A Novel,literary fiction|historical fiction|drama,"<Atonement : A Novel> is a literary fiction novel about a young girl's false accusation that changes the course of multiple lives, exploring themes of guilt, forgiveness, and the power of storytelling."
323,Balzac and the Little Chinese Seamstress : A Novel,historical fiction|literary fiction|coming-of-age,"<Balzac and the Little Chinese Seamstress : A Novel> is a historical fiction book about two teenage boys sent to a rural village during the Chinese Cultural Revolution, where they discover the power of literature and love through a forbidden romance with a local seam"
324,Ella Minnow Pea: A Novel in Letters,epistolary novel|satire|humor,"<Ella Minnow Pea: A Novel in Letters> is a satirical and humorous epistolary novel about a small island community where the government bans the use of certain letters of the alphabet, leading to absurd and comical consequences."
325,Sisterhood of the Traveling Pants,fiction|young adult|contemporary fiction,<Sisterhood of the Traveling Pants> is a young adult contemporary fiction book about four best friends who stay connected through a pair of magical pants that fit each of their different body types perfectly.
326,The Phantom Tollbooth,fantasy|children's literature,"<The Phantom Tollbooth> is a fantasy children's literature book about a boy named Milo who embarks on a fantastical journey through a mysterious land filled with puns, wordplay, and adventure."
327,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,self-help|business|motivational,<Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life> is a self-help and motivational book that uses a simple allegory to teach readers how to embrace change and adapt to new situations in both their professional
328,The Last Precinct,mystery|thriller|crime fiction,
329,The Bonesetter's Daughter,historical fiction|literature,
330,P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),mystery|detective fiction,"<P Is for Peril (Kinsey Millhone Mysteries (Hardcover))> is a mystery/detective fiction book about private investigator Kinsey Millhone's search for a missing woman, uncovering secrets and deception along the way."
331,Q Is for Quarry,crime fiction,"<Q Is for Quarry> is a crime fiction book about private investigator Kinsey Millhone's investigation into the cold case of an unidentified murder victim known only as ""Jane Doe."""
332,Portrait of a Killer: Jack the Ripper -- Case Closed,true crime|historical crime,"<Portrait of a Killer: Jack the Ripper -- Case Closed> is a true crime book that explores author Patricia Cornwell's investigation into the identity of Jack the Ripper, concluding that the notorious killer was artist Walter Sickert."
333,Blow Fly: A Scarpetta Novel,mystery|thriller|crime fiction,<Blow Fly: A Scarpetta Novel> is a mystery thriller crime fiction book about Dr. Kay Scarpetta trying to solve the murder of a young girl while dealing with personal demons and a dangerous copycat killer.
334,Lord of the Flies,dystopian|allegorical fiction|psychological fiction,<Lord of the Flies> is a dystopian allegorical fiction book about a group of boys stranded on an uninhabited island who descend into savagery and violence as they struggle for power and survival.
335,The Hunt for Red October,thriller|political fiction|techno-thriller,"<The Hunt for Red October> is a techno-thriller book about a Soviet submarine captain's defection to the United States with a revolutionary stealth submarine, sparking a high-stakes game of cat and mouse between the two superpowers."
336,Night Chills,horror|thriller,<Night Chills> is a horror thriller book about a small town terrorized by a mysterious force controlling its residents to commit violent acts.
337,Twilight Eyes,horror|thriller,"<Twilight Eyes> is a horror-thriller book about a man with the ability to see the true forms of malevolent creatures disguised as humans, who must use his gift to stop a murderous cult."
338,Red Storm Rising,thriller|war fiction,<Red Storm Rising> is a thrilling war fiction novel by Tom Clancy that depicts a hypothetical World War III scenario between NATO and Soviet forces.
339,Phantoms,horror|thriller,"<Phantoms> is a horror/thriller book about a small town in California that becomes mysteriously deserted, with only a few survivors left to uncover the terrifying truth behind the disappearances."
340,Watchers,thriller|horror|science fiction,"<Watchers> is a thriller|horror|science fiction book about a genetically engineered super-intelligent golden retriever, a murderous creature on the loose, and the humans caught in the middle of a deadly game."
341,Patriot Games (Jack Ryan Novels),thriller|suspense|political fiction,<Patriot Games (Jack Ryan Novels)> is a political thriller about former CIA analyst Jack Ryan getting caught in the middle of an international terrorist attack while on vacation in London.
342,Mortal Fear,medical thriller|suspense,<Mortal Fear> is a medical thriller about a psychiatrist who becomes embroiled in a conspiracy involving a deadly experimental drug and a series of mysterious deaths.
343,Lightning,mystery|thriller|science fiction,<Lightning> is a mystery-thriller-science fiction book about a woman who is mysteriously connected to a time-traveling assassin and a government conspiracy.
344,The Cardinal of the Kremlin (Jack Ryan Novels),thriller|spy fiction|political thriller,<The Cardinal of the Kremlin (Jack Ryan Novels)> is a political thriller book about CIA analyst Jack Ryan's efforts to prevent a high-ranking Soviet official from leaking sensitive information to the United States.
345,Breathing Lessons,family drama|fiction,<Breathing Lessons> is a family drama novel about a couple's journey as they navigate the ups and downs of their marriage during a road trip to attend a friend's funeral.
346,Midnight,horror|thriller|suspense,<Midnight> is a horror|thriller|suspense book about a small town plagued by inexplicable and terrifying occurrences.
347,Mutation,medical thriller|science fiction,<Mutation> is a medical thriller/science fiction book about a geneticist who discovers a dangerous mutation that causes accelerated aging and must race against time to find a cure.
348,The Hunt for Red October,thriller|suspense|action,"<The Hunt for Red October> is a thriller book about a Soviet submarine captain's defection to the United States with a top-secret nuclear missile sub, sparking a high-stakes chase between the two superpowers."
349,The Servants of Twilight,thriller|horror|supernatural,<The Servants of Twilight> is a supernatural thriller about a single mother and her young son being targeted by a cult convinced the child is the Antichrist.
350,Rules of Prey,thriller|crime fiction,"<Rules of Prey> is a thriller/crime fiction book about a cunning serial killer targeting women in Minneapolis, and the relentless detective determined to catch him before he strikes again."
351,The Bad Place,horror|thriller|suspense,<The Bad Place> is a horror/thriller book about a man with strange abilities and a mysterious past who is pursued by a dangerous entity seeking to control his powers.
352,Harmful Intent,medical thriller,<Harmful Intent> is a medical thriller about a forensic pathologist who becomes entangled in a deadly conspiracy involving a new and dangerous drug.
353,Shadow Prey,thriller|suspense|crime fiction,<Shadow Prey> is a crime fiction novel about Minneapolis police detective Lucas Davenport tracking down a Native American hitman responsible for a series of brutal murders.
354,The Voice of the Night,horror|thriller,<The Voice of the Night> is a horror|thriller book about a teenage boy who befriends a sociopathic classmate with deadly consequences.
355,Cold Fire,thriller|horror|suspense,<Cold Fire> is a suspenseful thriller about a woman with psychic abilities who teams up with a former reporter to uncover a terrifying conspiracy involving a psychopathic killer.
356,Vital Signs,medical thriller,<Vital Signs> is a medical thriller about a doctor who uncovers a conspiracy involving medical malpractice and organ trafficking.
357,Eyes of Prey,suspense|crime fiction,<Eyes of Prey> is a suspenseful crime fiction book about a serial killer terrorizing the city of Minneapolis and the detective determined to stop him.
358,The House of Thunder,suspense|horror,"<The House of Thunder> is a suspense|horror book about a woman who wakes up from a coma with no memory of the past year, only to discover sinister events and a dangerous conspiracy surrounding her."
359,The Hunt for Red October (Jack Ryan Novels),thriller|techno-thriller|military fiction,<The Hunt for Red October (Jack Ryan Novels)> is a techno-thriller book about CIA analyst Jack Ryan's efforts to prevent a Soviet submarine captain's defection with a revolutionary stealth submarine.
360,The Sum of All Fears (Jack Ryan Novels),thriller|suspense|political fiction,<The Sum of All Fears (Jack Ryan Novels)> is a political thriller about a CIA analyst who uncovers a plot involving a nuclear weapon and must prevent a catastrophic war between the United States and Russia.
361,Hideaway,horror|thriller|suspense,<Hideaway> is a horror|thriller book about a family who unwittingly becomes entangled in a web of evil after a near-death experience leads them to a mysterious cult.
362,Blindsight,medical thriller|science fiction,"<Blindsight> is a medical thriller/science fiction book about a doctor's discovery of a mysterious illness affecting a group of patients, leading to a dangerous investigation into the pharmaceutical industry."
363,Shadowfires,horror|thriller,<Shadowfires> is a horror-thriller book about a woman who discovers her husband's dark secret and must confront supernatural forces to save herself and her family.
364,Silent Prey,mystery|thriller|crime fiction,"<Silent Prey> is a thriller book about a serial killer targeting women in Minneapolis, and Lucas Davenport's hunt to catch the murderer before more lives are taken."
365,Dragon Tears,fiction|horror|thriller,<Dragon Tears> is a horror thriller book about a detective and a woman who are hunted by a supernatural entity after witnessing a brutal murder.
366,Winter Prey,thriller|suspense|crime fiction,"<Winter Prey> is a crime fiction thriller about a brutal killer targeting a small town in Minnesota, leading the local police and detective Lucas Davenport on a dangerous hunt to catch the elusive murderer."
367,The Funhouse,horror|thriller,<The Funhouse> is a horror thriller book about a group of teenagers who find themselves trapped in a twisted and deadly funhouse at a carnival.
368,Without Remorse,thriller|suspense|suspense fiction,"<Without Remorse> is a suspense thriller by Tom Clancy about a former Navy SEAL seeking revenge for the murder of his girlfriend, leading to a dangerous and covert mission of justice."
369,Mr. Murder,suspense|thriller|horror,<Mister Murder> is a suspense thriller book about a bestselling author who discovers that a mysterious entity is trying to take over his life.
370,Fatal Cure,medical thriller,<Fatal Cure> is a medical thriller about a doctor who discovers a deadly conspiracy involving a new miracle drug.
371,Night Prey,thriller|suspense|crime fiction,"<Night Prey> is a thriller book about a serial killer targeting women in the Twin Cities, and the intense hunt to catch him before he strikes again."
372,Second Nature,fiction|fantasy|magical realism,"<Second Nature> is a magical realism book about a young girl who discovers she has the power to communicate with animals and the natural world, leading her on a journey of self-discovery and acceptance."
373,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),thriller|spy fiction,<Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback))> is a thrilling spy fiction book about the establishment of a secret government agency tasked with handling international crises.
374,The Key to Midnight,mystery|thriller|suspense,<The Key to Midnight> is a suspenseful thriller about a woman who must unravel her forgotten past and confront a dangerous conspiracy in Tokyo.
375,Debt of Honor (Jack Ryan Novels),thriller|political thriller|spy fiction,<Debt of Honor (Jack Ryan Novels)> is a political thriller book about CIA analyst Jack Ryan uncovering a Japanese plot to destabilize the United States economy and trigger a war between the two countries.
376,The Body Farm,mystery|thriller|forensic fiction,The Body Farm is a forensic fiction thriller about Dr. Kay Scarpetta's investigation into a series of gruesome murders connected to a research facility dedicated to studying decomposition.
377,Naked in Death,mystery|romance|suspense,"<Naked in Death> is a mystery|romance|suspense book about a tough detective investigating a series of murders in a futuristic New York City, while navigating a complicated relationship with a charming businessman."
378,Acceptable Risk,mystery|medical thriller,<Acceptable Risk> is a medical thriller about a woman who discovers a dangerous conspiracy surrounding a new pharmaceutical drug.
379,Sophie's World: A Novel About the History of Philosophy,fiction|philosophy,<Sophie's World: A Novel About the History of Philosophy> is a fiction|philosophy book that follows a teenage girl named Sophie as she receives mysterious letters and embarks on a journey through the history of Western philosophy.
380,Mind Prey,thriller|suspense|crime fiction,"<Mind Prey> is a suspenseful crime fiction novel about a wealthy family held hostage by a deranged serial killer, and the race against time to save them."
381,The Eyes of Darkness,mystery|thriller|horror,"<The Eyes of Darkness> is a thriller book about a mother's relentless search for her missing son, leading her to uncover a government conspiracy involving a deadly biological weapon."
382,From Potter's Field,mystery|crime fiction,<From Potter's Field> is a gripping crime fiction novel about forensic pathologist Kay Scarpetta hunting down a sadistic serial killer in New York City.
383,Invasion,medical thriller|science fiction,<Invasion> is a medical thriller/science fiction book about a mysterious virus outbreak in New York City that leads to a global conspiracy involving extraterrestrial beings.
384,Contagion,medical thriller,"<Contagion> is a medical thriller about a deadly virus outbreak that threatens to spread worldwide, leading a team of doctors to race against time to find a cure and stop the epidemic."
385,Sudden Prey,thriller|crime fiction,<Sudden Prey> is a thriller/crime fiction book about a violent confrontation between a team of professional thieves and the skilled investigator Lucas Davenport.
386,Demon Seed,horror|science fiction,<Demon Seed> is a horror/science fiction book about a supercomputer that imprisons a woman in her own home and seeks to impregnate her with its artificial intelligence.
387,Cause of Death,mystery|crime fiction|suspense,<Cause of Death> is a suspenseful mystery novel by Patricia Daniels Cornwell that follows medical examiner Dr. Kay Scarpetta as she investigates a series of suspicious deaths linked to a controversial U.S. senator.
388,Executive Orders (Jack Ryan Novels),thriller|political fiction|action,"<Executive Orders (Jack Ryan Novels)> is a political thriller about Jack Ryan, who unexpectedly becomes President of the United States and must navigate a global terrorist threat while facing political intrigue and personal tragedy."
389,Hornet's Nest,crime fiction,"<Hornet's Nest> is a crime fiction book about a journalist and a police chief teaming up to solve a series of brutal murders in Charlotte, North Carolina."
390,Chromosome 6,medical thriller|suspense,"<Chromosome 6> is a medical thriller book about a genetic experiment gone wrong, leading to a dangerous outbreak in Africa."
391,The Rapture of Canaan,fiction|drama|religious fiction,"<The Rapture of Canaan> is a religious fiction book about a teenage girl in a strict, isolated religious community who must confront her beliefs and family secrets when a new preacher arrives."
392,Politika (Tom Clancy's Power Plays (Paperback)),thriller|political fiction,"<Politika (Tom Clancy's Power Plays (Paperback))> is a political thriller book about a Russian presidential candidate who is targeted by terrorists, leading to a high-stakes game of espionage and political intrigue."
393,Unnatural Exposure,crime fiction|thriller,<Unnatural Exposure> is a crime fiction thriller about Dr. Kay Scarpetta's pursuit of a serial killer who leaves behind a deadly virus as his signature.
394,Toxin,medical thriller,<Toxin> is a medical thriller about a doctor who discovers a conspiracy involving a powerful pharmaceutical company and their deadly drug.
395,Here on Earth,literary fiction|magical realism|romance,<Here on Earth> is a literary fiction novel about a woman who returns to her hometown and becomes entangled in a passionate and destructive love triangle with a childhood friend and his abusive wife.
